A.M.; n.午前; 上午
AID, n.艾滋病
lawye, n.律师
la, vt.放; 搁
laz, a.懒惰的
lea, v.领导; 带领
leade, n.领袖; 领导人
leadin, a.最主要的; 第一位的
lea, n.叶
leagu, n.联盟; 社团
lea, vi.漏; 渗
lear, (learn,learn, --ed--ed)vt.学; 学习; 学会
learne, a.有才华的; 博学的
leas, n.最少; 最少量
leathe, n.皮革
leav, v.离开;把…留下; 剩下
lectur, n.讲课; 演讲
lef, a.左边的
left-hande, a.惯用左手的
left-win, n.左翼的
leftove, a.剩余;剩下的
le, n.腿; 腿脚; 支柱
lega, a.与法律有关的; 法律的
lemo, n.柠檬
lemonad, n.柠檬水
len, vt.借;把…借给
lengt, n.长; 长度; 段; 节
les, a.&ad.少于;小于
lesso, n.课; 功课; 教训
le, vt.让
lette, n.信; 字母
letter-bo, n.信箱
leve, n.水平线; 水平
liberat, vt.解放; 使获自由
liberatio, n.解放
libert, n.自由
libraria, n.图书管理员; 图书馆馆长
librar, n.图书馆; 图书室
licens, n.执照; 许可证
li, n.盖子
li, v.躺;卧;平放;位于
lif, n.生命; 生涯; 生活; 人生; 生物
lifetim, n.一生; 终生
lif, v.举起; 抬起; 消散
ligh, n.光; 光亮; 灯; 灯光
lightnin, n.闪电
lik, prep.像; 跟…一样
likel, a.很可能的
limi, vt.限制; 减少
lin, n.绳索; 线; 排; 行; 线路
lin, v.连接; 联系
lio, n.狮子
li, n.嘴唇
liqui, n.&a.液体; 液体的
lis, n.一览表; 清单
liste, vi.听;仔细听
literar, a.文学的
literatur, n.文学
litr, n.升; 公升
litte, v.乱丢杂物
littl, a.小的;少的
liv, vi.生活;居住;活着
livel, a.活泼的;充满生气的
livin, a.活着的
loa, n.担子; 货物
loa, n.一个面包
loca, a.当地的; 地方的
loc, n.锁
locus, n.蝗虫
lonel, a.孤独的; 寂寞的
lon, a.长的; 远
loo, n.看; 瞧
loos, a.松散的; 宽松的
lorr, n.运货汽车; 卡车
los, vt.失去; 丢失
los, n.丧失; 损耗
lo, n.许多; 好些
lou, a.大声的
loudl, ad.大声地
loudspeake, n.扬声器; 喇叭
loung, n.休息厅; 休息室
lov, n.&vt.爱; 热爱;很喜欢
lovel, a.美好的; 可爱的
lo, a.&ad.低; 矮
luc, n.运气; 好运
luck, a.运气好; 侥幸
luggag, n.行李
lunc, n.午餐; 午饭
lun, n.肺; 肺脏
machin, n.机器
ma, a.发疯的; 生气的
mada, n.夫人;女士
magazin, n.杂志
magi, a.有魔力的
mai, n.女仆; 侍女
mai, n.邮政;邮递
mailbo, n.邮筒; 邮箱
mai, a.主要的
mainlan, n.大陆
majo, a.较大的; 主要的
majorit, n.大多数 
mak, vt.制造;做;使得
mal, a.男的; 雄的
ma, n.成年男人;人类
man-mad, a.人造的; 人工的
manag, v.管理; 设法对付
manage, n.经理
mankin, n.人类;人
manne, n.方式; 态度; 举止
man, pron.许多人
ma, n.地图
mapl, n.枫树
mapleleave, 枫叶
maratho, n.马拉松
marbl, n.大理石; 玻璃弹子
marc, n.游行; 行进
mar, n.标记
marke, n.市场; 集市
marriag, n.结婚; 婚姻
marrie, a.已婚的
marr, v.成婚; 结婚
mas, n.口罩; 面罩; 遮盖物
mas, n.众多;大量;群众
maste, vt.精通; 掌握
ma, n.垫子
matc, vt.使相配; 使成对
materia, n.材料; 原料
mathematic, n.数学
matte, n.要紧事; 要紧;事情; 问题
matur, a.成熟的
maximu, a.&n.最大量; 最大限度
mayb, ad.可能; 大概; 也许
maymoda, v.可以;也许;可能
m, pron.我
mea, n.一餐 
mea, vt.意思;意指
meanin, n.意思; 含意
mean, n.方法; 手段; 财产
meanwhil, ad.同时
measur, v.量
mea, n.肉
meda, n.奖牌
medi, n.大众传播媒介
medica, a.医学的; 医疗的
medicin, n.药
mediu, n.媒体;中间的;中等的
mee, vt.&n.遇见; 见到会; 集会
meetin, n.会;集会;会见;汇合点
melo, n.瓜; 瓜状物
melonsee, 瓜子
membe, n.成员; 会员
memoria, n.纪念馆
memoriz, v.记忆
memor, n.回忆; 记忆
men, v.修理; 修补
menta, a.精神的; 脑力的
mentall, ad.精神上; 智力上
mentio, n.提及; 记载
men, n.菜单
merchan, a.商业的; 商人的
mercifu, a.仁慈的; 宽大的
merc, n.怜悯
merel, ad.仅仅; 只不过
merr, a.高兴的; 愉快的
mes, n.凌乱
messag, n.消息; 音信
mess, a.乱七八糟的
meta, n.金属
metho, n.方法; 办法
metr, n.米; 公尺
microcompute, n.微机
microscop, n.显微镜
microwav, n.微波
mid-autum, n.中秋
midda, n.中午;正午
middl, n.中间;当中;中级的
midnigh, n.午夜
migh, v.aux.(may的过去式; 助动词)可能; 也许; 或许
mil, a.温和;暖和的;凉爽的
mil, n.英里
mil, n.牛奶
millio, num.百万
millionair, n.百万富翁
min, n.思想;想法
min, n.矿藏;矿山
minera, n.矿物质; 矿物
minibu, n.小型公共汽车
minimu, a.最小的
miniskir, n.超短裙
ministe, n.部长; 牧师
ministr, n.部
minorit, n.少数; 少数民族
minu, prep.&a.负的; 减去的
minut, n.分钟;一会儿; 瞬间
mirro, n.镜子
mis, vt.失去; 错过; 缺
missil, n导弹
mis, n.雾
mistak, n.错误
mistake, a.错误的
misunderstan, v.误会; 不理解
mi, v.混合; 搅拌
mixtur, n.混合物
m, n.毫米
mobil, a.活动的; 可移动的
mobilephon, 手提电话; 手机
mode, n.桌子; 表格
modelmanner, 餐桌礼节; 用餐的规矩
modeltenni, n.乒乓球
mode, n.调制解调器
moder, a.现代的
modes, a.谦虚的; 谦逊的
momen, n.片刻; 瞬间
momm, n.妈妈
mone, n.钱; 货币
monito, n.班长; 纠察生; 监视器
monke, n.猴子
mont, n.月; 月份
monumen, n.纪念碑; 纪念物
moo, n.月球; 月光; 月状物
mooncak, n.月饼
mo, n.&v.拖把拖地
mora, a.道德的
mor, a.&ad.另外的; 附加的; 较多的再; 另外; 而且; 更
mornin, n.早晨; 上午
mos, a.&ad.最多
mothe, n.母亲
motherlan, n.祖国
motivatio, n.动机
moto, n.发动机; 马达
motorbik, n.摩托车
motorcycl, n.摩托车
mott, n.箴言; 格言
mountai, n.山; 山脉
mountainou, a.多山的
mour, vt.哀痛; 哀悼
mous, n.鼠; 耗子; 鼠标
moustach, n.小胡子
mout, n.嘴; 口
mouthfu, n.满口; 一口
mov, v.移动; 搬动; 搬家
movemen, n.运动; 活动
movi, n.电影
muc, (mor, most)a.许多的; 大量的
mu, n.泥;泥浆
mudd, a.泥泞的
multipl, vt.乘; 使相乘
murde, vt.谋杀
museu, n.博物馆; 博物院
mushroo, n.蘑菇
musi, n.音乐; 乐曲
musica, a.音乐的; 爱好音乐的
musicia, n.音乐家; 乐师
mustar, n.芥末; 芥子粉
mustmoda, v.必须;应当;必定是
mutto, n.羊肉
m, pron.我的
mysel, pron.我自己
nai, n.钉; 钉子
nam, n.名字;姓名;名称
narro, a.狭窄的
natio, n.民族; 国家
nationa, a.国家的;全国性的; 民族的
nationalit, n.国籍
nationwid, ad.全国范围内的;全国性的
nativ, a.本土的; 本国的
natura, a.自然的
natur, n.自然;性质; 种类
nav, n.海军
nea, a.近的
nearb, a.附近的
nearl, ad.将近; 几乎
nea, a.整洁的; 灵巧的
necessar, a.必需的; 必要的
nec, n.颈; 脖子
necklac, n.项链
neckti, n.领带; 领花
nee, n.需要;需求
needl, n.针
negotiat, v.谈判; 协商
neighbou, n.邻居; 邻人
neighbourhoo, n.四邻; 邻近地区
neithe, a.都不;也不
nephe, n.侄子; 外甥
nervou, a.紧张不安的
nes, n.巢; 窝
ne, n.网
networ, n.网络; 网状系统
neve, ad.决不; 从来没有
ne, a.新的; 新鲜的
new, n.新闻; 消息
newspape, n.报纸
nex, a.最近的; 紧挨着的; 隔壁的; 下一次
nic, a.令人愉快;好的漂亮的
niec, n.侄女; 甥女
nigh, n.夜; 夜间
night-clu, n.夜总会
nin, num.九
ninetee, num.十九
ninet, num.九十
nint, num.第九
n, ad.不;不是
nobl, a.高贵的; 贵族的
nobod, n.渺小人物
no, vi.点头
nois, n.声音; 噪声; 喧闹声
noisil, ad.喧闹地
nois, a.喧闹的; 嘈杂的
non-sto, a.&ad.不停的;不断地
non-violen, a.非暴力的
non, pron.无任何东西;无一人
noodl, n.面条
noo, n.中午; 正午
no, conj.也不
norma, n.&a.正常的
nort, a.北的;朝北的;从北来的
northeas, n.东北
norther, a.北方的; 北部的
northward, ad.向北
northwes, n.西北
nos, n.鼻
no, ad.不; 没
not, n.便条; 笔记; 注释; 钞票; 纸币; 音符; 音调
noteboo, n.笔记簿
nothin, n.没有东西;没有什么
notic, n.布告; 通告; 注意
nove, n.小说
novelis, n.小说家
no, ad.现在
nowaday, ad.当今; 现在
nowher, ad.任何地方都不;无处
nuclea, a.原子核的; 原子能的; 核动力的
num, a.麻木的; 失去知觉的; 迟钝的
numbe, n.数;数字;号码;数量
nurs, n.护士; 保育员
nurser, n.托儿所
nursin, n.保育;护理
nu, n.坚果;果仁
nutritio, n.营养; 滋养
nylo, n.尼龙
o'cloc, n.点钟
obe, v.服从; 顺从; 听从
objec, n.物; 物体; 宾语
observ, v.观察; 监视; 观测
obtai, vt.获得; 得到
obviou, a.显然
occupatio, n.职业; 工作
occu, vi.发生
ocea, n.海洋
o, prep.…
of, prep.离开;脱离;开
offenc, 
offe, n.&vt.提供; 建议
offic, n.办公室
office, n.军官;公务员;官员; 警察; 警官
officia, n.官员;高级职员
offshor, a.近海的
ofte, ad.经常; 常常
o, int.哦！啊！
oi, n.油
oilfiel, n.油田
ol, a.老的; 旧的
omelett, n.煎蛋卷; 煎蛋饼
o, prep.在…上; 关于
onc, n.&ad.一次;一度;从前
on, pron.一num.一
onesel, pron.自己; 自身
onio, n.洋葱; 洋葱头
onl, a.惟一的; 仅有的
ont, prep.到…的上面
ope, a.开着的;开的
opene, n.开具; 启子
openin, n.开放; 口子
oper, n.歌剧
operahous, n.歌剧院;艺术剧院
operat, v.做手术; 运转; 实施; 负责;经营; 管理
operatio, n.手术; 操作
operato, n.接线员
opinio, n.看法; 见解
oppos, vt.反对; 反抗
opposit, n.相反; 对面
optimisti, a.乐观的
optiona, a.可选择的; 选修的
o, conj.或; 就是; 否则
ora, a.口述的; 口头上的
orang, n.橘子; 橙子; 橘汁
orbi, n.运行轨道
orde, vt.定购; 定货; 点菜
ordinar, a.普通的; 平常的
orga, n.器官
organis, vt.组织
organise, n.组织者
organizatio, n.组织; 机构
origi, n.起源; 由来
othe, pron.别人; 别的东西
otherwis, ad.要不然;否则;另样
ouc, int哎哟
ough, v.&aux.应该; 应当
ou, pron.我们的
our, pron.我们的
ourselve, pron.我们自己
ou, ad.出外;在外;向外;熄
outcom, n.结果; 效果
outdoor, ad.在户外;在野外
oute, a.外部的; 外面的
outgoin, a.爱交际的;外向的
outin, n.郊游; 远足
outlin, n.概述; 略述
outpu, n.产量; 输出量
outsid, n.外面
outspoke, a.直率; 坦诚
outstandin, a.优秀的; 杰出的
outwar, ad.向外的; 外出的
outward, ad.向外的; 外出的
ova, n.&adj.椭圆; 椭圆形的
ove, prep.在…上方;越过;遍及
overcoa, n.大衣
overcom, v.克服; 解决
overhea, a.在头顶上;架空的
overloo, v.忽略;不予理会
overweigh, a.太胖的;超重的
ow, vt.欠
ow, a.自己的
owne, n.物主; 所有人
ownershi, n.所有制
o, n.牛; 公牛
oxyge, n.氧; 氧气
p.m.; n.下午;午后
pac, n.步子; 节奏
pac, n.包;捆;一群
packag, n.一包; 一袋; 一盒
packe, n.小包裹; 袋
paddl, n.桨状物; 蹼
pag, n.页; 页码
pai, n.疼痛; 疼
painfu, a.使痛的; 使痛苦的
pain, n.油漆
painte, n.绘画者;画家
paintin, n.油画; 水彩画
pai, n.一双; 一对
palac, n.宫; 宫殿
pal, a.苍白的; 灰白的
pa, n.平底锅
pancak, n.薄煎饼
pand, n.熊猫
pani, a.&v.惊慌;恐慌;惶恐不安
pape, n.纸; 报纸
paperwor, n.日常文书工作
paragrap, n.段落
paralle, n.极其相似的人;纬线
parce, n.包裹
pardo, n.原谅;宽恕;对不起
paren, n.父; 双亲
par, vt.停放
parkin, n.停车
parro, n.鹦鹉
par, n.部分; 成分; 角色; 部件; 零件
part-tim, a.&ad.兼职的; 部分时间的
participat, v.参加; 参与
particula, a.特殊的; 个别的
partl, ad.部分地;在一定程度上
partne, n.搭档; 合作者
pas, vt.传; 递; 经过; 通过
passag, n.一节; 一段; 通道; 走廊
passenge, n.乘客; 旅客
passer-b, n.过客; 过路人
passiv, a.被动的
passpor, n.护照
pas, ad.过
paten, n.专利权; 专利证书
pat, n.小道; 小径
patienc, n.容忍; 耐心
patien, n.病人
patter, n.式样
paus, n.&vi.中止; 暂停; 停止
pa, v.付钱; 给…报酬
pe, n.豌豆
peac, n.和平
peacefu, a.和平的; 安宁的
peac, n.桃子
pea, n.梨子; 梨树
peasan, n.农民; 佃农
pedestria, n.步行者; 行人
pe, n.钢笔; 笔
pen-frien, n.笔友
penci, n.铅笔
pencil-bo, n.铅笔盒
pencil-sharpene, 转笔刀
penn, n.便士; 美分
pensio, n.养老金
peopl, n.人; 人们; 人民
peppe, n.胡椒粉
pe, prep.每; 每一
percen, n.百分之……
percentag, n.百分率
perfec, a.完美的; 极好的
perfor, v.表演; 履行; 行动
performanc, n.演出; 表演
performe, n.表演者; 执行者
perfum, n.香水
perhap, ad.可能; 或
perio, n.时期; 时代
permanen, a.永久的; 永恒的
permissio, n.允许;许可;同意
permi, vt.许可;允许;执照
perso, n.人
persona, a.个人的; 私人的
personall, ad.就自己而言
personne, n.全体人员; 职员
persuad, vt.说服; 劝说
pes, n.害虫
pe, n.宠物; 爱畜
petro, n.石油
phenomeno, n.现象
phon, “＝”telephonev.打电话
phone-boot, n.公用电话间
phot, n.照片
photograp, n.照片
photographe, n.摄影师
phras, n.短语; 习惯用语
physica, a.身体的; 物理的
physicia, n.医生
physicis, n.物理学家
physic, n.物理
pianis, n.钢琴家
pian, n.钢琴
pic, v.拾起; 采集; 挑选
picni, n.&v.野餐
pictur, n.图片; 画片; 照片
pi, n.甜馅饼
piec, n.一块
pi, n.猪
pil, n.堆
pil, n.药丸; 药片
pillo, n.枕头
pilo, n.飞行员
pi, n.别针
pin, n.松树
pineappl, n.菠萝
ping-pon, n.乒乓球
pin, n.品脱
pionee, n.先锋; 开拓者
pip, n.管子; 输送管
pit, n.怜悯; 同情
plac, n.地方; 处所
plai, a.家常的; 普通的
pla, n.&v.计划; 打算
plan, n.飞机
plane, n.行星
plan, vt.种植; 播种
plasti, a.塑料的
plat, n.板; 片; 牌; 盘子; 盆子
platfor, n.讲台;月台
pla, v.玩; 打; 游戏; 播放
playe, n.比赛者; 选手
playgroun, n.操场; 运动场
playmat, n.玩伴
playroo, n.游戏室
pleasan, a.令人愉快的; 舒适的
pleas, v.请;使人高兴;使人满意
please, a.高兴的
pleasur, n.高兴; 愉快
plent, n.充足; 大量
plo, v.&n.故事情节; 密谋
plu, n.塞子
plu, prep.加; 加上
p, n.下午;午后
pocke, n.口袋
poe, n.诗
poe, n.诗人
poin, v.指; 指向
poiso, n.毒药
poisonou, a.有毒的; 致命的
pol, n.杆; 电线杆; 
polic, n.警察; 警务人员
policema, n.警察;巡警policewoman
polic, n.政策; 方针; 原则
polis, v.擦亮
polit, a.有礼貌的;有教养的
politica, a.政治的
politicia, n.政治家
politic, n.政治
pollut, vt.污染
pollutio, n.污染
pon, n.池塘
poo, n.水塘; 水池
poo, a.贫穷; 可怜; 不好的;差的
po, a.大众的; 通俗的
popcor, n.爆米花
popula, a.流行;大众;受欢迎的
populatio, n.人口; 人数
por, n.猪肉
pormode, a.手提的; 便携式的
porridg, n.稀饭; 粥
por, n.港口; 码头
porte, n.搬运工
positio, n.位置
posses, vt.占有; 拥有
possessio, n.所有; 拥有; 财产; 所有物
possibilit, vn.可能; 可能性
possibl, a.可能的
pos, n.邮政; 邮寄; 邮件
postag, n.邮费
postbo, n.邮箱
postcar, n.明信片
postcod, n.邮政编码
poste, n.招贴; 广告
postma, n.邮递员
postpon, vt.推迟; 延期
po, n.锅; 壶; 瓶; 罐
potat, n.土豆; 马铃薯
potentia, a.潜在的; 可能的
poun, n.磅; 英镑
pou, vi.倾泻; 不断流出
powde, n.粉; 粉末
powe, n.力; 动力; 电力
powerfu, a.效力大的; 强有力的; 强大的
practica, a.实际的; 适用的
practic, n.练习
prairi, n.大草原
prais,  n.&vt.赞扬; 表扬
pra, v.祈祷; 祈求
praye, n.祈祷
preciou, a.宝贵的;珍贵的
precis, a.准确;精确的;确切的
predic, v.预言; 预告; 预报
prefe, vt.宁愿;更喜欢
preferenc, n.选择; 趋向
pregnan, a.怀孕的
prejudic, n.偏见; 成见
premie, n.首相; 总理
preparatio, n.准备
prepar, vt.准备;预备;调制;配制
prescriptio, n.处方; 药方
presen, a.出现的; 出席的
presentatio, n.演示; 演出
preserv, v.保护; 保留; 保存
presiden, n.总统; 主席
pres, vt.压;按
pressur, n.压迫;压力;压强
preten, vi.假装; 装作
prett, a.漂亮的; 俊俏的
preven, vt.防止;预防
previe, vt.预习;试演;预展
pric, n.价格; 价钱
prid, n.自豪; 骄傲
primar, a.初等的; 初级的
primaryschoo, 小学
primitiv, a.原始的; 远古的
principl, n.道德原则; 法则
prin, vt.印刷
printe, n.打印机
printin, n.印刷; 印刷术
priso, n.监狱
prisone, n.囚犯
privat, a.私人的
privileg, 特权; 特殊待遇
priz, n.奖赏; 奖品
probabl, a.很可能;很有希望的
probabl, ad.很可能; 大概
proble, n.问题; 难题
procedur, n.程序;手续;待遇
proces, n.&v.过程;加工;处理
produc, vt.生产; 制造
produc, n.产品; 制品
productio, n.生产; 制造
professio, n.
professo, n.教授
profi, n.利润; 收益
programm, n.节目; 项目
progres, n.进步;上进
prohibi, v.禁止
projec, n.工程
promis, n.&vi.答应; 允诺
promot, v.促进;推动;促销;晋升
pronounc, vt.发音
pronunciatio, n.发音
prope, a.恰当的; 合适的
properl, ad.适当地
protec, vt.保护
protectio, n.保护
prou, a.自豪的; 骄傲的
prov, vt.证明
provid, vt.提供
provinc, n.省
psycholog, n.心理学
pu, n.酒店; 酒吧
publi, a.公共;公众的
publicl, ad.当众; 公开地
publis, t.出版; 发行
pul, 拉; 拖n.拉力; 引力
puls, n.脉搏; 脉动; 搏动
pum, t.用泵抽水
punctua, a.准时的
punctuat, v.加标点
punctuatio, n.标点符号
punis, v.惩罚; 处罚
punishmen, n.惩罚
pupi, n.学生
purchas, v.购买; 采购
pur, a.纯的;不掺杂的
purpl, n.&a.紫色
purpos, n.目的; 意图
purs, n.钱包
pus, n.&v.推
pu, vt.放; 摆
puzzl, n.难题;谜
puzzle, a.迷惑的; 困惑的
pyrami, n.角锥形; 金字塔
quak, n.&v.震动; 颤抖
qualificatio, n.资格; 学历
qualit, n.质量; 性质
quantit, n.量; 数
quarre, vi.争吵; 吵架
quarte, n.四分之一; 一刻钟
quee, n.皇后; 女王
questio, vt.询问
questionnair, n.调查表; 问卷
queu, n.行列; 长队
quic, a.快; 敏捷的; 急剧的
quie, a.安静的; 寂静的
quil, n.被子; 被状物
qui, v.离任; 离校; 戒掉
quit, ad.完全; 十分
qui, n.测验; 小型考试
rabbi, n.兔; 家兔
rac, n.种族; 民族
racia, a.种族的
radiatio, n.放射; 放射物
radi, n.无线电; 收音机
radioactiv, a.放射性的
radiu, n.镭
ra, n.破布; 抹布
rai, n.铁路
railwa, n.铁路; 铁道
rai, n.雨; 雨水
rainbo, n.虹; 彩虹
raincoa, n.雨衣
rainfal, n.一场雨; 降雨量
rain, a.下雨的; 多雨的
rais, vt.使升高; 饲养
rando, a.随意;未经事先考虑的
rang, n.&v.变化; 变动; 排序
ran, n.职衔; 军衔
rapi, a.快的; 迅速的
rar, a.罕见的; 稀有的
ra, n.老鼠
rat, n.&v.率; 评估; 评价
rathe, ad.相当; 宁可
ra, a.生的;未煮过的;未加工的
rawmateria, 原料
ra, n.光辉; 光线
razo, n.剃须刀
reac, v.到达; 伸手够到
reac, v.回应; 过敏; 起物理; 化学反应
rea, v.读; 朗读
readin, n.阅读; 朗读
read, a.准备好的
rea, a.真实的; 确实的
realis, vt.认识到;实现
realit, n.现实
realiz, vt.认识到;实现
really, ad.真正地; 到底; 确实
reaso, vi.评理;劝说
reasonabl, a.合乎情理的
rebuil, vt.重建
receip, n.收据
receiv, v.收到; 得到
receive, n.电话听筒
recen, a.近来的; 最近的
receptio, n.接待
receptionis, n.接待员
recip, n.烹饪法; 食谱
recit, v.背诵
recognis, vt.认出
recogniz, vt.认出
recommen, v.推荐
recor, v.录制; 记录
recorde, n.录音机
recordholde, 记录保持者
recove, vi.痊愈; 恢复
recreatio, n.娱乐; 消遣
rectangl, n.&a.长方形;长方形的
recycl, vt.回收; 再循环
re, n.红色
redirec, vt.使改变; 使转移
reduc, vt.减少; 缩减
refe, vi.谈到;提到;涉及;有关
refere, n.裁判; 仲裁; 调解员
referenc, n.提到;涉及;谈及;查询
reflec, v.反映; 反射
refor, v.&n.改革; 改进; 改良
refres, v.使恢复精力; 提醒
refreshment, n.点心; 便餐; 简单茶点招待
refrigerato, n.冰箱
refusa, n.拒绝
refus, vi.拒绝; 不愿
regar, v.把……看作
regardles, a.不顾; 不加理会
regard, n.问候; 致意
registe, n.登记簿; 花名册; 注册员
regre, n.&vt.可惜;遗憾;痛惜;哀悼
regula, a.规则的; 经常
regulatio, n.规则; 规章
rejec, v.拒绝
relat, vi.有关; 涉及
relatio, n.关系; 亲属
relationshi, n.关系
relativ, n.亲属; 亲戚
rela, v.放松; 轻松
rela, n.接力; 接替人; 中转
relevan, a.紧密相关;有意义的
reliabl, a.可信赖的; 可依靠的
relie, n.轻松;解脱;缓和;救济
religio, n.宗教
religiou, a.宗教的
rel, v.依赖; 依靠
remai, vt.余下;留下
remar, n.陈述; 话; 议论
remembe, v.记得; 想起
remin, vt.提醒; 使记起
remot, a.偏远的; 偏僻的
remov, vt.移动; 拿走; 脱掉
ren, n.&v.租金
repai, n.&vt.修理; 修补
repair, n.修理工作
repea, vt.重说; 重做
replac, vt.取代
repl, n.回答; 答复
repor, n.&v.报道; 报告
reporte, n.记者; 新闻通讯员
represen, vt.代表
representativ, n.代表;典型人物
republi, n.共和国
reputatio, n.名声; 名誉
reques, n.请求; 要求的事物
requir, vt.需求; 要求
requiremen, n.需要; 要求; 必要的条件
rescu, vt.营救; 援救
researc, n.研究; 调查
resembl, v.像; 看起来像
reservatio, n.预定
reserv, n.&v.储备; 预定
resig, v.辞职
resis, v.抵抗; 挡开
respec, vt.&n.尊敬; 尊重
respon, v.回答;回应;作出反应
responsibilit, n.责任; 负责
res, n.休息; 剩余的部分; 其余的人
restauran, n.饭馆;饭店
restric, v.限制
restrictio, n.限制; 约束
resul, n.结果; 效果
retel, vt.重讲; 重复; 复述
retir, v.退休
retur, v.归还
reus, vt.重新使用; 循环使用
revie, vt.重新调查; 回顾; 复习
reviewe, n.评论者; 书评家
revisio, n.复习; 温习
revolutio, n.革命; 变革
rewar, n.奖赏
rewin, v.回转
rewrit, vt.重写
rhym, n.&v.押韵
ric, n.稻米; 米饭
ric, a.富裕的; 有钱的
ri, vt.使摆脱
riddl, n.谜
rid, v.骑; 乘车
ridiculou, a.荒谬的; 愚蠢的
righ, n.权利
right-hande, a.惯用右手的
right-win, n.右翼
rigi, a.死板的;僵硬的;固执的
rin, v.响; 打电话
ring-roa, n.环形公路
rip, a.成熟的; 熟的
ripe, v.成熟
ris, vi.上升; 上涨
ris, n.&v.危险; 风险; 冒险
rive, n.江; 河; 水道; 巨流
roa, n.路; 道路
roas, v.烤
ro, v.抢夺; 抢劫
robo, n.机器人
roc, n.岩石;大石头
rocke, n.火箭
rol, n.角色
rol, v.滚动;打滚
rolle, n.滚筒; 辊
rollerskating, 滑旱冰
roo, n.屋顶; 顶部
roo, n.房间;室;空间;地方
rooste, n.公鸡
roo, n.根; 根源; 起源
rop, n.绳; 索
ros, n.玫瑰花
ro, vi.烂; 腐败
roug, a.粗糙的; 粗略的
roun, ad.转过来
roundabou, a.&n.绕道的; 不直接的; 转盘路
routin, n.常规;正常顺序;无聊
ro, n.行
roya, a.皇家的; 王室的; 国王的; 女王的
rubbe, n.橡胶; 合成橡胶
rubbis, n.垃圾; 废物
rud, a.无理的;粗鲁的
rugb, n.橄榄球
rui, vt.毁坏; 毁灭
rul, n.规则;规定
rule, n.统治者; 直尺
ru, vi.跑; 奔跑; 褪色
runne, n.赛跑者; 操作者; 滑行装置
runnin, n.跑步
rus, vi.冲; 奔跑
sacre, a.害怕; 恐惧; 担心
sacrific, vt.牺牲
sa, a.悲伤的
sadnes, n.悲哀; 忧伤
saf, a.安全的
safet, n.安全; 保险
sai, n.航行
sailin, n.航海
sailo, n.水手; 海员
sala, n.色拉
salar, n.薪金; 薪水
sal, n.卖; 出售
salesgir, n.女售货员
salesma, n.男售货员
saleswoma, n.女售货员
sal, n.盐
salt, a.盐的; 咸的; 含盐的
salut, v.&n.敬礼
sam, n.同样的事a同样的;同一
san, n.沙; 沙子
sandwic, n.三明治
satellit, n.卫星
satisfactio, n.满意
satisf, vt.满足; 使满意
sauc, n.酱汁; 调味汁
sauce, n.茶碟; 茶托; 小圆盘
sausag, n.香肠; 腊肠
savag, n.野蛮人; 未开化的人
sav, vt.救; 挽救; 节省
sa, vt.说; 讲
sayin, n.说; 俗话; 谚语
sca, v.略读; 浏览; 扫描
sca, n.伤疤; 伤痕
scar, v.使害怕; 使恐惧
scar, n.领巾; 围巾
scen, n.一场; 场景; 布景
scener, n.风景; 景色; 风光
sceptica, a.怀疑的
schedul, n.工作计划; 日程安排
schola, n.学者
scholarshi, n.奖学金
schoo, n.学校
school-leave, n.学校毕业生
schoolba, n.书包
schoolmat, n.同校同学
scienc, n.科学; 自然科学
scientifi, a.科学的
scientis, n.科学家
scissor, n.剪刀; 剪子
scol, vt.责骂
scor, n.&v.得分; 分数
score, n.许多; 很多
screa, n.尖叫
scree, n.幕; 荧光屏
sculptur, n.雕塑; 雕刻作品; 雕像
se, n.海; 海洋
seagul, n.海鸥
sea, n.海豹
seama, n.水手; 海员
searc, n.&v.搜寻; 搜查
seashel, n.海贝
seasid, n.海滨
seaso, n.季; 季节
sea, n.座位; 座
seawee, n.海草;海藻;海带
secon, n.秒
secondhan, n.二手货;旧货
secre, n.秘密; 内情
secretar, n.秘书; 书记
sectio, n.段; 部分; 部门
secur, a.安心的;有把握的;牢靠的
securit, n.安全; 平安
se, vt.看见; 看到; 领会; 拜会
see-sa, n.跷跷板
see, n.种子
see, vt.试图;探寻
see, v.似乎; 好像
seiz, vt.抓住
seldo, ad.很少; 不常
selec, vt.选择; 挑选; 选拔
sel, n.自己; 自我; 自身
self-servic, n.自助;自我服务的
selfis, a.自私的
sel, v.卖; 售
semicircl, n.半圆
sen, v.打发; 派遣; 送; 邮寄
senio, a.年长的;资深的;高年级的
sens, n.感觉; 意识
sensitiv, a.体贴的;善解人意的
sentenc, n.句子
separat, v.使分开; 使分离
separatel, ad.单独地; 各自地
separatio, n.分离; 隔离
seriou, a.严肃的;严重的;认真的
servan, n.仆人; 佣人
serv, vt.招待;服务
servic, n.服务
service-charg, n.服务费;小费
sessio, n.一场;一节;一段时间
se, vt.释放; 安置
settl, vi.安家; 定居
settlemen, n.新拓居地; 部落; 村落
settle, n.移居者; 开拓者
seve, num.七
seventee, num.十七
sevent, num.第七
sevent, num.七十
severa, pron.几个;数个
sever, a.极为恶劣;十分严重的
se, vi.缝;缝制; 缝补; 缝纫
se, n.性; 性别
shabb, a.破旧;破烂;衣衫褴褛的
shad, n.阴凉处; 树荫处
shado, n.影子;阴影
shak, v.动摇; 震动
shal, v.aux.将要; 会; ……好吗
shallo, a.浅的;不深的;肤浅的
